"","EVTYPE","yr","outcomes","totalamount"
"437","STORM",1984,"INJURIES",283
"438","TORNADO",1984,"INJURIES",2499
"439","HAIL",1984,"INJURIES",76
"440","TORNADO",1985,"INJURIES",1299
"441","STORM",1985,"INJURIES",196
"442","HAIL",1985,"INJURIES",18
"443","STORM",1986,"INJURIES",309
"444","HAIL",1986,"INJURIES",70
"445","TORNADO",1986,"INJURIES",536
"446","STORM",1987,"INJURIES",371
"447","HAIL",1987,"INJURIES",27
"448","TORNADO",1987,"INJURIES",1018
"449","HAIL",1988,"INJURIES",8
"450","STORM",1988,"INJURIES",334
"451","TORNADO",1988,"INJURIES",688
"452","TORNADO",1989,"INJURIES",1270
"453","STORM",1989,"INJURIES",382
"454","HAIL",1989,"INJURIES",23
"455","HAIL",1990,"INJURIES",67
"456","STORM",1990,"INJURIES",580
"457","TORNADO",1990,"INJURIES",1177
"458","STORM",1991,"INJURIES",487
"459","HAIL",1991,"INJURIES",4
"460","TORNADO",1991,"INJURIES",864
"461","STORM",1992,"INJURIES",323
"462","TORNADO",1992,"INJURIES",1323
"463","HAIL",1992,"INJURIES",108
"464","WINTER WEATHER",1995,"INJURIES",202
"465","WINTER WEATHER",1994,"INJURIES",1981
"466","WINTER WEATHER",1993,"INJURIES",607
"467","HURRICANE",1995,"INJURIES",4
"468","HAIL",1993,"INJURIES",17
"469","STORM",1993,"INJURIES",311
"470","STORM",1994,"INJURIES",884
"471","TORNADO",1994,"INJURIES",808
"472","HAIL",1994,"INJURIES",27
"473","HAIL",1995,"INJURIES",203
"474","STORM",1995,"INJURIES",1091
"475","EXTREME TEMPERATURE",1995,"INJURIES",1131
"476","OTHER",1995,"INJURIES",151
"477","MARINE SQUALL",1995,"INJURIES",376
"478","TORNADO",1995,"INJURIES",1120
"479","FLOOD",1995,"INJURIES",78
"480","HIGH WINDS",1993,"INJURIES",184
"481","HIGH WINDS",1995,"INJURIES",120
"482","TORNADO",1993,"INJURIES",778
"483","HIGH WINDS",1994,"INJURIES",62
"484","FLOOD",1994,"INJURIES",41
"485","OTHER",1993,"INJURIES",13
"486","FLOOD",1993,"INJURIES",42
"487","EXTREME TEMPERATURE",1994,"INJURIES",269
"488","MARINE SQUALL",1994,"INJURIES",6
"489","EXTREME TEMPERATURE",1993,"INJURIES",10
"490","MARINE SQUALL",1993,"INJURIES",22
"491","OTHER",1994,"INJURIES",81
"492","DROUGHT",1995,"INJURIES",4
"493","DROUGHT",1994,"INJURIES",0
"494","FIRE",1993,"INJURIES",150
"495","FIRE",1994,"INJURIES",0
"496","FIRE",1995,"INJURIES",0
"497","HURRICANE",1993,"INJURIES",1
"498","DROUGHT",1993,"INJURIES",0
"499","HURRICANE",1994,"INJURIES",0
"500","WINTER WEATHER",1996,"INJURIES",673
"501","TORNADO",1996,"INJURIES",705
"502","STORM",1996,"INJURIES",704
