"","EVTYPE","yr","outcomes","totalamount"
"434","STORM",1983,"CROPDMG",0
"435","TORNADO",1983,"CROPDMG",0
"436","HAIL",1983,"CROPDMG",0
"437","STORM",1984,"CROPDMG",0
"438","TORNADO",1984,"CROPDMG",0
"439","HAIL",1984,"CROPDMG",0
"440","TORNADO",1985,"CROPDMG",0
"441","STORM",1985,"CROPDMG",0
"442","HAIL",1985,"CROPDMG",0
"443","STORM",1986,"CROPDMG",0
"444","HAIL",1986,"CROPDMG",0
"445","TORNADO",1986,"CROPDMG",0
"446","STORM",1987,"CROPDMG",0
"447","HAIL",1987,"CROPDMG",0
"448","TORNADO",1987,"CROPDMG",0
"449","HAIL",1988,"CROPDMG",0
"450","STORM",1988,"CROPDMG",0
"451","TORNADO",1988,"CROPDMG",0
"452","TORNADO",1989,"CROPDMG",0
"453","STORM",1989,"CROPDMG",0
"454","HAIL",1989,"CROPDMG",0
"455","HAIL",1990,"CROPDMG",0
"456","STORM",1990,"CROPDMG",0
"457","TORNADO",1990,"CROPDMG",0
"458","STORM",1991,"CROPDMG",0
"459","HAIL",1991,"CROPDMG",0
"460","TORNADO",1991,"CROPDMG",0
"461","STORM",1992,"CROPDMG",0
"462","TORNADO",1992,"CROPDMG",0
"463","HAIL",1992,"CROPDMG",0
"464","WINTER WEATHER",1995,"CROPDMG",205162175.2
"465","WINTER WEATHER",1994,"CROPDMG",5011453500
"466","WINTER WEATHER",1993,"CROPDMG",72000165
"467","HURRICANE",1995,"CROPDMG",20510145
"468","HAIL",1993,"CROPDMG",18255375
"469","STORM",1993,"CROPDMG",8431805
"470","STORM",1994,"CROPDMG",134777789.62
"471","TORNADO",1994,"CROPDMG",15230350
"472","HAIL",1994,"CROPDMG",101622470
"473","HAIL",1995,"CROPDMG",87177671.01
"474","STORM",1995,"CROPDMG",85346671.21
"475","EXTREME TEMPERATURE",1995,"CROPDMG",400440784.3
"476","OTHER",1995,"CROPDMG",0
"477","MARINE SQUALL",1995,"CROPDMG",250005.3
"478","TORNADO",1995,"CROPDMG",7878965.3
"479","FLOOD",1995,"CROPDMG",204451883.3
"480","HIGH WINDS",1993,"CROPDMG",6010105
"481","HIGH WINDS",1995,"CROPDMG",13175021.5
"482","TORNADO",1993,"CROPDMG",3128852.5
"483","HIGH WINDS",1994,"CROPDMG",605505
"484","FLOOD",1994,"CROPDMG",37807225
"485","OTHER",1993,"CROPDMG",0
"486","FLOOD",1993,"CROPDMG",5159772625
"487","EXTREME TEMPERATURE",1994,"CROPDMG",550005
"488","MARINE SQUALL",1994,"CROPDMG",50000
"489","EXTREME TEMPERATURE",1993,"CROPDMG",7e+06
"490","MARINE SQUALL",1993,"CROPDMG",0
"491","OTHER",1994,"CROPDMG",0
"492","DROUGHT",1995,"CROPDMG",500000054.5
"493","DROUGHT",1994,"CROPDMG",0
"494","FIRE",1993,"CROPDMG",0
"495","FIRE",1994,"CROPDMG",1004000.01
"496","FIRE",1995,"CROPDMG",12500
"497","HURRICANE",1993,"CROPDMG",0
"498","DROUGHT",1993,"CROPDMG",500050
"499","HURRICANE",1994,"CROPDMG",0
"500","WINTER WEATHER",1996,"CROPDMG",6343003.22
"501","TORNADO",1996,"CROPDMG",6009206.5
"502","STORM",1996,"CROPDMG",20449211.5
"503","HAIL",1996,"CROPDMG",46866987.15
"504","HIGH WINDS",1996,"CROPDMG",81542625.55
"505","FLOOD",1996,"CROPDMG",215256171.12
"506","EXTREME TEMPERATURE",1996,"CROPDMG",449148.1
"507","OTHER",1996,"CROPDMG",29770111.7
"508","MARINE SQUALL",1996,"CROPDMG",5000
"509","FIRE",1996,"CROPDMG",3075000
"510","DROUGHT",1996,"CROPDMG",443680060.4
"511","HURRICANE",1996,"CROPDMG",213845000
"512","STORM",1997,"CROPDMG",21725725.25
"513","TORNADO",1997,"CROPDMG",4632601.12
"514","HAIL",1997,"CROPDMG",65634633.3
"515","EXTREME TEMPERATURE",1997,"CROPDMG",1500227
"516","FLOOD",1997,"CROPDMG",61011555.7
"517","WINTER WEATHER",1997,"CROPDMG",81950053.72
"518","HIGH WINDS",1997,"CROPDMG",2855900
"519","MARINE SQUALL",1997,"CROPDMG",25
"520","HURRICANE",1997,"CROPDMG",2500000
"521","OTHER",1997,"CROPDMG",1224400
"522","DROUGHT",1997,"CROPDMG",55200197.79
"523","FIRE",1997,"CROPDMG",10040000
"524","HAIL",1998,"CROPDMG",48666017.37
"525","STORM",1998,"CROPDMG",133762122
"526","FLOOD",1998,"CROPDMG",152485357.6
"527","WINTER WEATHER",1998,"CROPDMG",625184.4
"528","HIGH WINDS",1998,"CROPDMG",2316118
"529","TORNADO",1998,"CROPDMG",21019701
"530","MARINE SQUALL",1998,"CROPDMG",52505
"531","EXTREME TEMPERATURE",1998,"CROPDMG",715598.4
"532","OTHER",1998,"CROPDMG",2346105.7
"533","DROUGHT",1998,"CROPDMG",431247710.72
"534","HURRICANE",1998,"CROPDMG",210210050
"535","FIRE",1998,"CROPDMG",80972002
"536","STORM",1999,"CROPDMG",54000261.2
"537","HAIL",1999,"CROPDMG",51849106
"538","HIGH WINDS",1999,"CROPDMG",5320700
"539","EXTREME TEMPERATURE",1999,"CROPDMG",204154.81
"540","MARINE SQUALL",1999,"CROPDMG",5
"541","FLOOD",1999,"CROPDMG",357309514.4
"542","WINTER WEATHER",1999,"CROPDMG",475000
"543","OTHER",1999,"CROPDMG",10000
"544","TORNADO",1999,"CROPDMG",4770003.5
"545","DROUGHT",1999,"CROPDMG",661332.28
"546","FIRE",1999,"CROPDMG",618701
"547","HURRICANE",1999,"CROPDMG",861875503
"548","STORM",2000,"CROPDMG",20990542
"549","HAIL",2000,"CROPDMG",61712063.2
"550","FLOOD",2000,"CROPDMG",593549085.76
"551","TORNADO",2000,"CROPDMG",6873100
"552","HIGH WINDS",2000,"CROPDMG",1181000
"553","WINTER WEATHER",2000,"CROPDMG",5.5
"554","OTHER",2000,"CROPDMG",10000
"555","MARINE SQUALL",2000,"CROPDMG",0
"556","EXTREME TEMPERATURE",2000,"CROPDMG",1105002
"557","DROUGHT",2000,"CROPDMG",2438.1
"558","FIRE",2000,"CROPDMG",370005.7
"559","HURRICANE",2000,"CROPDMG",0
"560","STORM",2001,"CROPDMG",25466859.1
